cod;sociedad;sociedad sap;cta_cont_int;nombre_cta;apert_contrato;reportable;cod_product;cod_tip_creditos;tip_posicion;item_matriz;debito;credito;ind_moneda;tip_cta
1005;BCO;4101;1100500000;EFECTIVO TESORERIA G;N;S;0;0;N;1100101;1100101;1100101;CHN;A
1005;BCO;4101;1100500001;BOVEDA PESOS;N;S;0;0;N;1100101;1100101;1100101;CHN;A
1005;BCO;4101;1100500002;CAJA PESOS;N;S;0;0;N;1100101;1100101;1100101;CHN;A
1005;USD;4104;1100500008;BOVEDA USD;N;S;0;0;N;1100101;1100101;1100101;EXT;A
1010;BCO;4101;1101000000;CUENTA CORRIENTE BANCO CENTRAL 34220102-4;N;S;0;0;N;1100201;1100201;1100201;CHN;A
1010;USD;4104;1101000003;DEPOSITOS EN EL BANCO CENTRAL EXPRESADOS EN DOLARES;N;S;0;0;N;1100201;1100201;1100201;EXT;A
1010;BCO;4101;1101000009;0638050 FPD Y OVERNIGHT - BANCO CENTRAL;N;S;0;0;N;1100202;1100202;1100202;CHN;A
1010;BCO;4101;1101000012;0638050 INTERES POR COBRAR FPD Y OVERNIGHT - BANCO CENTRAL;S;S;0;0;N;1100202;1100202;1100202;CHN;A
1015;BCO;4101;1101500002;CANJE CON PRESENCIA;N;S;0;0;N;1130102;1130102;1130102;CHN;A
1020;BCO;4101;1102000000;CTACTE $ 14240-09 BANCO DE CHILE - GIROS ATM;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1020;USD;4104;1102000002;CTACTE USD 05-000-46730-02 BANCO DE CHILE - USD;N;S;0;0;N;1100300;1100300;1100300;EXT;A
1020;USD;4104;1102000003;CTACTE USD 18598510 BANCO BCI;N;S;0;0;N;1100300;1100300;1100300;EXT;A
1020;BCO;4101;1102099991;CTACTE $ 46730-08 BANCO DE CHILE - REMESAS / RRHH;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1020;BCO;4101;1102099992;CTACTE $ 28816-00 BANCO DE CHILE - NEG INSTIT;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1020;BCO;4101;1102099993;CTACTE $ 71179-09 BANCO DE CHILE - CAR;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1020;BCO;4101;1102099994;CTACTE $ 91140-02 BANCO DE CHILE - ADM;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1020;BCO;4101;1102099995;CTACTE $ 64741438 BANCO SANTANDER - TEF;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1020;BCO;4101;1102099996;CTACTE $ 111213054 BANCO DE CHILE-CITI-RRHH;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1020;BCO;4101;1102099997;CTACTE $ 10680021 BANCO BCI;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1020;BCO;4101;1102099998;CTACTE CLP 111213062 BANCO DE CHILE;N;S;0;0;N;1100300;1100300;1100300;CHN;A
1025;USD;4104;1102500002;CTACTE 003010124 ITAU CORPBANCA NYORK SWIFT CONBUS33;N;S;0;0;N;1100400;1100400;1100400;EXT;A
1115;BCO;4101;1111530010;140-0630010 CAPITAL CRED. CONSUMO 6.19 CUOTA FIJA;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111530012;140-0630010 INTERESES POR COBRAR CRED. CONSUMO 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111530030;140-0630030 CAPITAL CRED. CONSUMO 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111530032;140-0630030 INTS. POR COBRAR CRED. CONSUMO 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111531010;140-0631010 CAPITAL CRED. CONSUMO 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111531012;140-0631010 INTS. POR COBRAR CRED. CONSUMO 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111531020;140-0631020 CAPITAL CRED. CONSUMO 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111531022;140-0631020 INTS. POR COBRAR CRED. CONSUMO 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111539010;140-0639010 CAPITAL CREDITO DE CONSUMO AUTOMOTRIZ;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111539012;140-0639010 INT X  COBRAR CREDITO DE CONSUMO AUTO;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111539020;140-0639020 CAPITAL CRED. CONSUMO PRORROGA 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111539022;140-0639020 INTS. POR COBRAR CRED. CONSUMO PRORR. 6.19;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111567110;140-0671010 CAPITAL CRED. CONSUMO RETENCION;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1115;BCO;4101;1111567112;140-0671010 INTS. POR COBRAR CRED. CONSUMO RETENCION;S;S;140;1115;N;1305100;1305100;1305100;CHN;A
1140;BCO;4101;1114000001;SEG DESGR X COBRAR;S;S;190;1140;N;1304200;1304200;1304200;CHN;A
1140;BCO;4101;1114000004;190 - PRIMA DE SEG A CARGO DE DEUD DE PTMOS HIP;N;S;190;1140;N;1304101;1304101;1304101;CHR;A
1140;BCO;4101;1114000005;SEG INCENDIO X COBRA;S;S;190;1140;N;1304901;1304901;1304901;CHN;A
1140;BCO;4101;1114000009;190 - PRIMAS DE SEG  DEUD PTMOS FINES GRALES;N;S;190;1140;N;1302170;1302170;1302170;CHR;A
1205;BCO;4101;1120567070;210-0670070 CAPITAL CRÉD. CONS RENEG;S;S;210;1205;N;1305100;1305100;1305100;CHN;A
1205;BCO;4101;1120567072;210-0670070 INT X COB CRÉD. CONS RENEG;S;S;210;1205;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121022010;220-0634005 CAPITAL CREDITO AUTOMOTRIZ > UF 200;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121022011;220-0634005 INTERES CREDITO AUTOMOTRIZ > UF 200;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121030020;220-0630020 CAP. CRED.CONSUMO 21.35;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121030022;220-0630020 INT. POR COBRAR CRED.CONSUMO 21.35;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121030040;220-0630040 CAP. CREDITO DE CONSUMO 21.35;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121030042;220-0630040 INT. POR COBRAR CRED. CONSUMO 21.35;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121031030;220-0631030 CAP. CRED. CONSUMO 21.36;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121031032;220-0631030 INT. POR COBRAR CRED. CONSUMO 21.36;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121031040;220-0631040 CAP. CRED. CONSUMO 21.84;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121031042;220-0631040 INT. POR COBRAR CRED. CONSUMO 21.84;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121039032;220-0639030 INT. POR;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121050090;220-0670010 CAP.  CRED. CONSUMO 21.60 CUOTAS;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121050092;220-0670010 INT. POR COBRAR CRED. CONSUMO 21.60;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121064110;CAP CRED CONSUMO PREGRADO UF (FIN CORFO);N;S;220;1210;N;1302602;1302602;1302602;CHR;A
1210;BCO;4101;1121064111;REAJ POR COBRAR CRED CONS PREGRADO UF (FIN CORFO);N;S;220;1210;N;1302602;1302602;1302602;CHR;A
1210;BCO;4101;1121064112;INTS POR COBRAR CRED CONS PREGRADO UF (FIN CORFO);N;S;220;1210;N;1302602;1302602;1302602;CHR;A
1210;BCO;4101;1121064113;CAP CRED CONSUMO PREGRADO UF (FIN BANCO);N;S;220;1210;N;1302604;1302604;1302604;CHR;A
1210;BCO;4101;1121064114;INTS POR COBRAR CRED CONS PREGRADO UF (FIN BANCO);N;S;220;1210;N;1302604;1302604;1302604;CHR;A
1210;BCO;4101;1121064115;REAJ POR COBRAR CRED CONS PREGRADO UF (FIN BANCO);N;S;220;1210;N;1302604;1302604;1302604;CHR;A
1210;BCO;4101;1121067110;220-0671020 CAP. CRED. CONSUMO RETENCION;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121067112;220-0671020 INT. POR COBRAR  CRED. CONSUMO RETENCION;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121070020;220-0670020 CAP.CRED.CONSUMO 6.19 RENEG;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1210;BCO;4101;1121070022;220-0670020 INT.POR COBRAR CRED.CONSUMO 6.19 RENEG;S;S;220;1210;N;1305100;1305100;1305100;CHN;A
1246;BCO;4101;1124600001;CAPITAL PRORROGAS CRED FINES GENERALES;S;S;270;1246;N;1302170;1302170;1302170;CHN;A
1246;BCO;4101;1124600002;INTERES POR COBRAR PRORROGAS CRED FINES GENERALES;S;S;270;1246;N;1302170;1302170;1302170;CHN;A
1246;BCO;4101;1124600003;CAPITAL PRORROGAS CRED VIVIENDA;S;S;270;1246;N;1304901;1304901;1304901;CHR;A
1246;BCO;4101;1124600004;INTERES POR COBRAR PRORROGAS CRED VIVIENDA;S;S;270;1246;N;1304901;1304901;1304901;CHR;A
1246;BCO;4101;1124699990;270-0640049 CAPITAL COMPLEMEN VIVIENDA NO ENDOS;N;S;270;1246;N;1304901;1304901;1304901;CHR;A
1246;BCO;4101;1124699992;270-0640049 INT COMPLEMEN VIVIENDA NO ENDOS;N;S;270;1246;N;1304901;1304901;1304901;CHR;A
1246;BCO;4101;1124699993;270-0640049 REAJ X COBRAR PTMOS COMP VIVIENDA;S;S;270;1246;N;1304901;1304901;1304901;CHR;A
1246;BCO;4101;1124699994;270-0640059 CAPITAL RENEGOCIACION MINVU DS 12;N;S;270;1246;N;1304901;1304901;1304901;CHR;A
1246;BCO;4101;1124699995;270-0640059 INTERES X COBRAR RENEGOCIACION MINVU DS 12;N;S;270;1246;N;1304901;1304901;1304901;CHR;A
1246;BCO;4101;1124699996;270-0640059 REAJUSTE X COBRAR RENEGOCIACION MINVU DS 12;N;S;270;1246;N;1304901;1304901;1304901;CHR;A
1247;BCO;4101;1124740020;280-0640039 PTMOS HIP ENDOSABLES PARA VIVIENDA;N;S;280;1247;N;1304200;1304200;1304200;CHR;A
1247;BCO;4101;1124740022;280-0640079 INT POR COBRAR M/CH  ENDOS.PARA LA VIVIENDA;N;S;280;1247;N;1304200;1304200;1304200;CHR;A
1247;BCO;4101;1124740023;280-0640079 REAJ POR COBRAR PTMOS HIP END.PARA VIVIENDA;S;S;280;1247;N;1304200;1304200;1304200;CHR;A
1305;BCO;4101;1130500001;310-0603059 PTMOS FINES GEN. EN L DE CREDITO;N;S;310;1305;N;1302170;1302170;1302170;CHR;A
1305;BCO;4101;1130500002;310-0603059 REAJ X COBRAR PTMOS FINES GEN EN L CREDITO;S;S;310;1305;N;1302170;1302170;1302170;CHR;A
1310;BCO;4101;1131063040;320-0603049 PTMO PARA VIV L CREDITO AMORT DIRECTA;N;S;320;1246;N;1304101;1304101;1304101;CHR;A
1310;BCO;4101;1131063042;REAJ X COB PTM PARA VIV. EN L. CRED AMORT DIRECTA;S;S;320;1246;N;1304101;1304101;1304101;CHR;A
1310;BCO;4101;1131063090;320-0603069 PTMOS PARA VIV LETRAS DE CREDITO > A UF2000;N;S;320;1246;N;1304101;1304101;1304101;CHR;A
1310;BCO;4101;1131063092;320-0603069 REAJ X COBRAR PTMOS C/LCHR VVIVI >2000 UF;S;S;320;1246;N;1304101;1304101;1304101;CHR;A
1315;BCO;4101;1131500001;DIV.X COB.X PTMOS L/CRED VIV AMORT DIRECTA;N;S;320;1246;N;1304101;1304101;1304101;CHR;A
1315;BCO;4101;1131500002;DIV.X.COB INTERESES X PTMOS L/CRED VIV.AMORT DIRECTA;N;S;320;1246;N;1304101;1304101;1304101;CHR;A
1315;BCO;4101;1131500003;DIV.X.COB COMISION X PTMOS L/CRED VIV.AMORT DIRECTA;N;S;320;1246;N;1304101;1304101;1304101;CHR;A
1315;BCO;4101;1131500004;DIV.X.COB PTMOS L/CRED FINES GENERALES AMORT DIRECTA;N;S;310;1305;N;1302170;1302170;1302170;CHR;A
